DiseaseName,Link,GeneSymbol
C,1,DNPH1
C,1,WDR18
C,1,NOP16
C,1,THSD4
C,1,METTL26
C,1,CENPV
C,1,CBS
C,1,KRT18
C,1,TRIB3
C,1,PGK1
C,1,QSER1
C,1,LIF
