DiseaseName,Link,GeneSymbol
A,1,BYSL
A,1,TMEM79
A,1,WARS
A,1,TYMP
A,1,SLC43A3
A,1,DNAAF5
A,1,LAG3
A,1,GADD45GIP1
A,1,CEP104
A,1,NFATC2IP
A,1,RRP9
A,1,WIZ
A,1,PYCR1
A,1,POLD1
A,1,DOK1
A,1,ABCF2
A,1,CEACAM1
A,1,GPANK1
A,1,MKS1
A,1,ZNF346
A,1,DHX9
A,1,ING1
A,1,SNAPC3
A,1,ZGPAT
A,1,CYP4B1
A,1,ELP5
A,1,ZNF473
A,1,ZNF268
A,1,KLHL41
A,1,CELF5
