DiseaseName,Link,GeneSymbol
E,1,MYL6B
E,1,LUM
E,1,TUSC3
E,1,TPSAB1
E,1,PTN
E,1,C11orf24
E,1,LPCAT1
E,1,JMJD4
E,1,TPGS2
E,1,LOC100996782///MED18
E,1,DLGAP1
E,1,SCD
E,1,UBD///GABBR1
E,1,KLRC2///KLRC1
