x
LOC100129518///SOD2
KRR1
VAV3
TRIO
ZC4H2
MB21D2
SEMA6A
ABCC3
CPEB4
UGCG
KLF11
ZBTB10
ABCA1
DAPP1
KMT2E
PNPLA8
FAM46C
SAT1
MAP3K7CL
VTI1A
AIM1
LPIN1
ZZEF1
SH3BP5
STON2
SFMBT2
THBS1
RBMS1
SUSD4
SLC9A8
RIT1
C9orf72
ZNF460
ZC3HAV1
GPCPD1
NFKBIZ
HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A
INAFM2
PANX1
CHN1
KALRN
TCF7L2
MORF4L2
STOM
PTGDR
SFT2D2
IFNGR1
SP3
HIPK1
EHD4
DNAJC27
SERPINB9
PDK4
CD44
XIST
LINC01225
JMJD1C
FAXDC2
SAMD12
LOC100506123///LOC100506076
SLC16A6
ATAD2
GSN
CCNT1
BEX1
CLUHP3
SLCO3A1
ITGB5
ING3
DLEU2
MYLIP
SNORD89
LOC102723927
C11orf58
LSMEM1
DNM3
NAIP
ATXN1
MYEOV
DIAPH3-AS1
HLA-DOB
PLEKHM3
LOC101926921///DAB2
CPQ
SNCA
ATXN7L1
BTG1
MGLL
ZNF451
CRTC3
GPRIN3
BCLAF1
PTGS1
HIST1H2BC
SC5D
HBG2///HBG1
ZNF117
YTHDC1
PDE4B
PDLIM1
ARID4B
SLC35A3
CHD1
ASAP1
HIST2H2BE
FOCAD
TNRC6C
ACTR3
STK38
ND6
UGP2
ITGB3
DUSP1
RTN1
PROS1
RGPD6///RGPD8///RGPD3///RGPD4///RGPD5
ARL5B
UBE2D3
LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW
IL6ST
LINC00926
SVIL
HAUS3
AP1G1
SRSF7
HIST1H2AE
SPG11
HIST1H2BJ///HIST1H2BG
RB1CC1
MAN2A1
ASAH1
PRR5-ARHGAP8///ARHGAP8
U2AF1
TSC22D1
MYO10
NFKB2
CLIP1
RNF125
SOD2
SLC11A2
SMAD4
MBNL1
JMY
SLC35F6///CENPA
HACD4
CELSR1
MAP3K5
MMP9
CSNK1A1
UVSSA
MGAT4A
DNAJB9
USP3
ARHGAP6
UBASH3B
ETV3
IGLC1
KBTBD2
EIF1
INO80D
RANBP2
FCF1
TNS1
KIAA1109
GABRB2
PTGR1
CALD1
LOC100507472///PCSK6
COTL1
RAP1GAP2
TMEM204
BANK1
DENND6A
IRS2
PRKRA
GSAP
GNAQ
TMEM158
TMEM156
CLDN23
PAN3
DCUN1D5
P2RY12
SEPT7P2
VCAN
FAM150B
ELL2
RAPGEF6
MPP1
CYLD
ZBTB20
H2AFJ
HIST2H2AA4///HIST2H2AA3
EPC1
PPP1CB
SCGB1C2///SCGB1C1
KLF12
B2M
ZNF331
CHRNA1
MIR1204///PVT1
CCR6
NR1D2
CCNL1
MED6
MASTL
SMPD1
MMD
CNOT6L
TCF25
CDHR1
GGNBP2
IQSEC1
GPRASP1
CBY1
CCDC93
PRKAA1
L3MBTL3
TNIK
LPP
GGTA1P
YPEL5
LOC102724985///PDXDC2P///PDXDC1
VPS13C
EIF4G3
KLHL15
43165
CYCS
AP3M2
LINC01578
KIF16B
LOXL1
RBBP6
TNRC6B
SLFN5
LOC100288675
ARID2
MKNK1
RAB27B
KDM4C
MIR612///NEAT1
SNRPA1
SKIL
ANKRD44
PNISR
KLF2
DOCK1
BTBD11
PAPSS2
RPS16P5
HNRNPC
PATL2
ZMYM2
SGK1
FHAD1
ASPH
QKI
GPRC5B
ERO1B
LRRFIP1
KIR2DS4
ELOVL7
RBM39
MTUS2
DOCK10
UST
SLC25A45
CFL2
TMEM116
PLCD4
IL18BP
ORAOV1
RHOH
PELI2
HIF3A
DCAF8
MSL2
CHRM3-AS2
NDUFA5
THAP2
ZCCHC2
LINC00641
ACRBP
LRP1
IMMP2L
ETV6
ZNF185
MIR4738///H3F3B///H3F3A
UTRN
PPP3CA
PRC1
PHLDB2
PDGFC
BBIP1
MCTP1
ELAVL4
GREM2
DKFZP586I1420
LOC101928682
PELI1
MAP4K4
MIR6883///PER1
CHMP1B
INSR
SMCHD1
SLC2A3
DNAH1
PLXDC1
KLHL24
MAP3K8
