DiseaseName,Link,GeneSymbol
F,1,NAV2
F,1,FOS
F,1,FOSB
F,1,SLC35F6///CENPA
F,1,DUSP1
F,1,PDE4B
F,1,ZFP36
F,1,JUN
F,1,HES1
F,1,CSRNP1
F,1,HBA2///HBA1
F,1,THBS1
