DiseaseName,Link,GeneSymbol
D,1,MAPK6
D,1,ANK3
D,1,MBP
D,1,DDX6
D,1,CR1
D,1,RBL1
D,1,PDLIM1
D,1,ZNF185
D,1,CREM
D,1,IDS
D,1,PPP3CA
D,1,GNAQ
D,1,LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW
D,1,ETV4
D,1,TXK
D,1,DNAJC7
D,1,ENTPD1
D,1,PPIL2
D,1,P2RY10
D,1,PDZK1IP1
D,1,ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
D,1,CRISP3
D,1,LOC100506639///ZNF131
D,1,NR4A3
D,1,C5
D,1,GRM8
D,1,SNRK
D,1,KRAS
D,1,NEO1
