DieaseName,Link,GeneSymbol
Huntington,1,TMCC1
Huntington,1,DICER1
Huntington,1,HNRNPA1
Huntington,1,PPWD1
Huntington,1,43166
Huntington,1,RBM25
Huntington,1,NUP58
Huntington,1,RNF217
Huntington,1,SLFN5
Huntington,1,CLIP1
Huntington,1,ATF2
Huntington,1,PHACTR2
Huntington,1,JMY
Huntington,1,ZBTB1
Huntington,1,CHD1
Huntington,1,MAN2A1
Huntington,1,CNOT7
Huntington,1,FASTKD2
Huntington,1,RBBP6
Huntington,1,WHAMMP2///WHAMMP3
Huntington,1,RUFY2
Huntington,1,SBF2
Huntington,1,GOLGA4
Huntington,1,INO80D
Huntington,1,KLHL24
Huntington,1,LOC100506123///LOC100506076
Huntington,1,KLF12
Huntington,1,HAUS3
Huntington,1,ZMYM2
Huntington,1,MYL12A
Huntington,1,STXBP3
Huntington,1,SRSF3
Huntington,1,TBRG1
Huntington,1,ATAD2B
Huntington,1,KRR1
Huntington,1,LOC100131541
Huntington,1,CUL3
Huntington,1,DLEU2
Huntington,1,FNBP1
Huntington,1,DIAPH2
Huntington,1,PPP1CB
Huntington,1,RALGPS2
Huntington,1,ERCC6L2
Huntington,1,TRA2A
Huntington,1,ATAD2
Huntington,1,CCDC91
Huntington,1,UTRN
Huntington,1,STON1
Huntington,1,PRKAA1
Huntington,1,ZDBF2
Huntington,1,EML4
Huntington,1,SKIL
Huntington,1,TCF7L2
Huntington,1,LOC401261
Huntington,1,TNRC6B
Huntington,1,VIM
Huntington,1,TRIP12
Huntington,1,ADAM9
Huntington,1,FBXO32
Huntington,1,RTN4
Huntington,1,ARL5B
Huntington,1,ARID2
Huntington,1,ARHGAP18
Huntington,1,FCF1
Huntington,1,NSUN6
Huntington,1,PSMD6-AS2
Huntington,1,MGEA5
Huntington,1,SRSF4
Huntington,1,PAPD4
Huntington,1,NAV2
Huntington,1,MKNK1
Huntington,1,INPP4B
Huntington,1,DKFZP586I1420
Huntington,1,PDK4
Huntington,1,GSAP
Huntington,1,RORA
Huntington,1,VCAN
Huntington,1,NDUFA5
Huntington,1,43165
Huntington,1,SP100
Huntington,1,ABCA1
Huntington,1,HIST1H2BC
Huntington,1,C2orf88
Huntington,1,PWAR6
Huntington,1,MEG3
Huntington,1,TAF15
Huntington,1,SVIL
Huntington,1,ACVR2A
Huntington,1,CD24
Huntington,1,LPAR6
Huntington,1,SCG5
Huntington,1,WDFY2
Huntington,1,TFDP2
Huntington,1,MYBL1
Huntington,1,ZBTB10
Huntington,1,CPXM2
Lou Gehrig's,1,MAPK6
Lou Gehrig's,1,ANK3
Lou Gehrig's,1,MBP
Lou Gehrig's,1,DDX6
Lou Gehrig's,1,CR1
Lou Gehrig's,1,RBL1
Lou Gehrig's,1,PDLIM1
Lou Gehrig's,1,ZNF185
Lou Gehrig's,1,CREM
Lou Gehrig's,1,IDS
Lou Gehrig's,1,PPP3CA
Lou Gehrig's,1,GNAQ
Lou Gehrig's,1,LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW
Lou Gehrig's,1,ETV4
Lou Gehrig's,1,TXK
Lou Gehrig's,1,DNAJC7
Lou Gehrig's,1,ENTPD1
Lou Gehrig's,1,PPIL2
Lou Gehrig's,1,P2RY10
Lou Gehrig's,1,PDZK1IP1
Lou Gehrig's,1,ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
Lou Gehrig's,1,CRISP3
Lou Gehrig's,1,LOC100506639///ZNF131
Lou Gehrig's,1,NR4A3
Lou Gehrig's,1,C5
Lou Gehrig's,1,GRM8
Lou Gehrig's,1,SNRK
Lou Gehrig's,1,KRAS
Lou Gehrig's,1,NEO1
Cerebral Palsy,1,RORA
Cerebral Palsy,1,DNAJC7
Cerebral Palsy,1,BCLAF1
Cerebral Palsy,1,TAF15
Cerebral Palsy,1,IL6ST
Cerebral Palsy,1,AKT2
Cerebral Palsy,1,AKAP13
Cerebral Palsy,1,MBNL2
Cerebral Palsy,1,MBNL1
Cerebral Palsy,1,PIK3CB
Cerebral Palsy,1,GNAL
Cerebral Palsy,1,LPP
Cerebral Palsy,1,TRIO
Cerebral Palsy,1,MIR612///NEAT1
Cerebral Palsy,1,ACACB
Cerebral Palsy,1,UTRN
Cerebral Palsy,1,DDX6
Cerebral Palsy,1,VCL
Cerebral Palsy,1,EPHA4
Cerebral Palsy,1,ADAM12
Cerebral Palsy,1,RAPGEF1
Cerebral Palsy,1,PDE4D
Cerebral Palsy,1,PCDH11Y///PCDH11X
Cerebral Palsy,1,NFIB
Cerebral Palsy,1,PDE3A
Cerebral Palsy,1,WISP2
Cerebral Palsy,1,LAMA2
Cerebral Palsy,1,TRIM58
